Common Name,Link,Scientific Name,Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent,X,Y,Z
Amazon Zebra Shrimp,/species-spotlight/amazon-zebra-shrimp/,Euryrhynchusamazoniensis,Malacostraca,Decapoda,Euryrhynchidae,Peaceful,All Levels,Omnivore,5.25,6.0,28.0,3.0,SA,-6.565974,10.608845,-1.3988378
American Flagfish,/species-spotlight/american-flagfish/,Jordanellafloridae,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Semi-Aggressive,Middle - Top,Omnivore,7.5,12.5,23.9,7.0,NAM,2.989985,5.7064524,0.91716456
Apple Snail,/species-spotlight/apple-snail/,"Pomaceabridgesii,Pomaceacanaliculata,Pomaceadiffusa,Pomaceahaustrum,Pomaceapaludosa,Pomaceamaculata",Gastropoda,Architaenioglossa,Ampullariidae,Peaceful,All Levels,Omnivore,7.25,9.0,23.05,15.0,NAM,-2.4196813,-2.0395832,1.0851119
Araguaia Corydoras,/species-spotlight/araguaia-corydoras/,Corydorasaraguaiaensis,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom - Middle,Omnivore,7.0,13.5,23.5,6.0,SA,-12.455409,-2.5548525,0.8887848
Armatus Corydoras,/species-spotlight/armatus-corydoras/,Corydorasarmatus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,8.5,24.45,6.5,SA,-12.532354,1.1258163,-2.378586
Arulius Barb,/species-spotlight/arulius-barb/,Puntiusarulius,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle,Omnivore,7.0,8.5,21.5,10.0,AS,-4.425371,1.4628786,0.13301966
Assam Danio,/species-spotlight/assam-danio/,Devarioassamensis,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,10.0,18.35,10.0,AS,-3.8359292,1.8648115,1.4911418
Assassin Snail,/species-spotlight/assassin-snail/,"CleaHelena,Anentomehelena",Gastropoda,Neogastropoda,Nassariidae,Peaceful,Bottom,Omnivore,7.6,17.5,24.7,2.0,AS,3.5849903,5.7699265,-0.3212457
Axelrods Corydoras,/species-spotlight/axelrods-corydoras/,Corydorasaxelrodi,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.5,12.5,24.15,5.0,SA,-12.991284,-1.2685851,1.3722581
Bala Shark,/species-spotlight/bala-shark/,BalantiocheilosMelanopterus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.0,6.0,25.0,35.0,AS,-0.7725427,-3.767385,-0.6110896
Banded Apistogramma,/species-spotlight/banded-apistogramma/,Apistogrammabitaeniata,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Bottom - Middle,Omnivore,5.75,5.0,26.95,8.0,SA,-8.113312,2.237156,-3.0969968
Banded Corydoras,/species-spotlight/banded-corydoras/,Scleromystaxbarbatus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,23.9,10.0,SA,-10.568893,-2.2939708,0.13657716
Banded Rainbowfish,/species-spotlight/banded-rainbowfish/,Melanotaeniatrifasciata,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle - Top,Omnivore,7.5,16.5,23.55,13.0,OC,1.9597157,4.4426394,-1.7958444
Bandit Corydoras,/species-spotlight/bandit-corydoras/,Corydorasmetae,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.75,10.0,23.0,5.0,SA,-13.209943,0.6386899,-0.42400032
Barred Danio,/species-spotlight/barred-danio/,Devariopathirana,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle,Omnivore,7.0,12.0,23.35,8.0,AS,-6.1461363,1.2606839,1.6099216
Barred Pencilfish,/species-spotlight/barred-pencilfish/,Nannostomusespei,Actinopterygii,Characiformes,Lebiasinidae,Peaceful,Middle - Top,Omnivore,6.0,7.0,24.75,3.0,SA,13.104596,1.2643368,-1.7972277
Bengal Danio,/species-spotlight/bengal-danio/,Devariodevario,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Top,Omnivore,7.0,12.5,20.55,8.0,AS,-4.410346,2.5089986,2.363222
Black Banded Leporinus,/species-spotlight/black-banded-leporinus/,Leporinusfasciatus,Actinopterygii,Characiformes,Anostomidae,Peaceful,Middle,Omnivore,6.5,12.5,25.0,30.0,SA,0.74577004,-4.0518465,-0.46179736
Black Bar Endler,/species-spotlight/black-bar-endler/,Poeciliawingei,Actinopterygii,Cyprinodontiformes,Poeciliidae,Peaceful,All Levels,Omnivore,7.75,25.0,26.95,2.5,SA,2.8327649,3.3109958,0.97536856
Black Barred Danio,/species-spotlight/black-barred-danio/,Danioabsconditus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,8.5,21.95,8.0,AS,-4.957558,2.5130982,0.17624551
Black Darter Tetra,/species-spotlight/black-darter-tetra/,Poecilocharaxweitzmani,Actinopterygii,Characiformes,Crenuchidae,Peaceful,Middle - Top,Carnivore,5.0,5.5,25.85,4.0,SA,12.492873,-0.47015783,-0.21932855
Black Diamond Corydoras CW49,/species-spotlight/black-diamond-corydoras-cw49/,Corydorassp,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.5,11.0,25.0,6.0,SA,-13.150952,-0.6124793,-1.4716964
Black Line Rasbora,/species-spotlight/black-line-rasbora/,Rasboraborapetensis,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,8.5,23.9,6.0,AS,-6.526914,3.9665227,0.12535353
Black Line Tetra,/species-spotlight/black-line-tetra/,Hyphessobryconscholzei,Actinopterygii,Characiformes,Characidae,Peaceful,Middle,Omnivore,7.25,14.0,25.0,5.0,SA,5.6075864,2.4773014,1.3547676
Black Neon Tetra,/species-spotlight/black-neon-tetra/,Hyphessobryconherbertaxelrodi,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.25,3.5,23.05,4.0,SA,12.308138,-2.363605,0.11612357
Black Phantom Tetra,/species-spotlight/black-phantom-tetra/,Hyphessobryconmegalopterus,Actinopterygii,Characiformes,Characidae,Peaceful,Middle,Omnivore,6.5,10.5,25.0,3.5,SA,8.534729,1.9296674,2.006649
Black Rose Shrimp,/species-spotlight/black-rose-shrimp/,NeocaridinaDavidi,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,7.0,6.0,23.85,4.0,AS,-5.9765573,9.572294,0.563216
Black Ruby Barb,/species-spotlight/black-ruby-barb/,Pethianigrofasciata,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,6.5,8.5,24.15,5.0,AS,-5.8622065,5.1477284,0.44922495
Black Sharkminnow,/species-spotlight/black-sharkminnow/,Labeochrysophekadion,Actinopterygii,Cypriniformes,Cyprinidae,Aggressive,Bottom - Middle,Omnivore,7.0,15.0,23.0,90.0,AS,-0.5024655,-6.8378716,0.08027571
Black Venezuela Corydoras,/species-spotlight/black-venezuela-corydoras/,"Corydorasschultzei""BlackVenezuela""",Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.75,8.5,25.0,6.0,SA,-12.961017,1.2673874,-2.4900117
Black Widow Tetra,/species-spotlight/black-widow-tetra/,Gymnocorymbusternetzi,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,12.5,22.8,7.5,SA,5.66893,1.47776,-0.113887966
Blackfin Pearl Killifish,/species-spotlight/blackfin-pearl-killifish/,Austrolebiasnigripinnis,Actinopterygii,Cyprinodontiformes,Rivulidae,Semi-Aggressive,Bottom - Middle,Omnivore,6.5,12.5,20.85,5.0,SA,6.568711,3.1966286,-1.2245822
Blackline Tail Tetra,/species-spotlight/blackline-tail-tetra/,Moenkhausiacostae,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,11.5,24.0,6.0,SA,6.551683,1.4884874,0.23432209
Blacktop Corydoras,/species-spotlight/blacktop-corydoras/,Corydorasacutus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,24.75,5.5,SA,-11.991588,-1.8076012,1.7987365
Bleeding Blue Tetra,/species-spotlight/bleeding-blue-tetra/,Hyphessobryconmargitae,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,10.0,25.0,5.0,SA,8.0444145,0.963828,0.7995486
Bleeding Heart Tetra,/species-spotlight/bleeding-heart-tetra/,Hyphessobryconerythrostigma,Actinopterygii,Characiformes,Characidae,Peaceful,Bottom - Middle,Omnivore,7.0,10.0,25.0,8.0,SA,6.490336,-0.56034464,0.14290822
Blood Tailed Danio,/species-spotlight/blood-tailed-danio/,Devarioannandalei,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle,Omnivore,7.0,10.0,23.9,10.0,AS,-5.6395173,0.69370747,0.39370435
Bloodfin Tetra,/species-spotlight/bloodfin-tetra/,Aphyocharaxanisitsi,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,7.0,7.5,22.8,5.5,SA,9.861162,-1.305744,0.20771651
Bloody Mary Shrimp,/species-spotlight/bloody-mary-shrimp/,Neocaridinadavidi,Malacostraca,Decapoda,Atyidae,Peaceful,Bottom,Omnivore,6.9,8.0,23.35,4.0,AS,-4.9288483,7.214052,2.4260433
Blue Botia,/species-spotlight/blue-botia/,Yasuhikotakiamodesta,Actinopterygii,Cypriniformes,Botiidae,Semi-Aggressive,Bottom,Omnivore,6.75,10.0,26.1,18.0,AS,3.2019293,-3.2400203,-0.34714565
Blue Danio,/species-spotlight/blue-danio/,Daniokerri,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,10.0,23.9,4.5,AS,-6.477535,4.8263693,1.4334282
Blue Eyed Congo Tetra,/species-spotlight/blue-eyed-congo-tetra/,Phenacogrammusaurantiacus,Actinopterygii,Characiformes,Alestidae,Peaceful,Middle - Top,Omnivore,6.75,10.5,25.0,10.0,AF,-6.148067,0.5060514,0.645777
Blue Leg Poso Sulawesi Shrimp,/species-spotlight/blue-leg-poso-sulawesi-shrimp/,Caridinacaerulea,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,7.75,6.0,28.0,2.5,AS,-6.3623643,9.804787,-1.442773
Blue Line Rasbora,/species-spotlight/blue-line-rasbora/,Rasborasarawakensis,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,7.0,23.9,5.0,AS,-6.9500136,5.074196,-0.6223517
Blue Panda Apistogramma,/species-spotlight/blue-panda-apistogramma/,"Apistogrammapanduro,Apistogrammapandurini",Actinopterygii,Cichliformes,Cichlidae,Peaceful,Bottom - Middle,Omnivore,5.25,5.0,25.3,7.5,SA,-8.130875,2.4637291,-3.1362224
Blue Purple Emperor Tetra,/species-spotlight/blue-purple-emperor-tetra/,Inpaichthyskerri,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,7.5,24.0,4.0,SA,10.4340725,-0.48893878,0.7830912
Blue Spot African Tetra,/species-spotlight/blue-spot-african-tetra/,Brycinuspoptae,Actinopterygii,Characiformes,Alestidae,Peaceful,Middle - Top,Omnivore,7.0,12.5,24.75,16.0,AF,-4.670262,-2.3021343,0.1636777
Blue Spotted Hill Trout,/species-spotlight/blue-spotted-hill-trout/,Bariliusbakeri,Actinopterygii,Cypriniformes,Cyprinidae,Semi-Aggressive,Middle - Top,Omnivore,6.75,6.0,21.95,15.0,AS,-3.9431968,-0.6265117,-1.7914816
Blue Star Endlers,/species-spotlight/blue-star-endlers/,Poeciliawingei,Actinopterygii,Cyprinodontiformes,Poeciliidae,Peaceful,Middle - Top,Omnivore,7.75,8.5,26.95,2.5,SA,6.352634,6.0507255,-0.7305012
Blue Striped Rivulus Killifish,/species-spotlight/blue-striped-rivulus-killifish/,"RivulusXiphidius,Laimosemionxiphidius",Actinopterygii,Cyprinodontiformes,Rivulidae,Peaceful,Middle - Top,Omnivore,6.25,4.0,23.9,4.5,SA,11.564066,-3.359874,-0.30155787
Blueberry Tetra,/species-spotlight/blueberry-tetra/,Hyphessobryconwadai,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.25,3.5,23.05,2.5,SA,12.361213,-2.4658678,0.18030293
Bluefin Notho,/species-spotlight/bluefin-notho/,Nothobranchiusrachovii,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Peaceful,Bottom,Omnivore,6.75,6.5,21.95,6.0,AF,8.409721,-4.3810716,0.07272125
Boesemans Rainbowfish,/species-spotlight/boesemans-rainbowfish/,MelanotaeniaBoesemani,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle - Top,Omnivore,7.25,15.0,28.0,13.0,OC,1.813037,4.5420814,-2.0131736
Bolivian Ram Cichlid,/species-spotlight/bolivian-ram-cichlid/,Mikrogeophagusaltispinosus,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Middle,Omnivore,6.75,10.0,24.45,8.0,SA,-7.9918237,1.0354364,0.0082640685
Borneo Red Fin Silver Shark,/species-spotlight/borneo-red-fin-silver-shark/,Cyclocheilichthysjanthochir,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,5.5,6.5,24.2,20.0,AS,-3.080111,-1.7598667,-1.5905527
Bristlenose Pleco,/species-spotlight/bristlenose-pleco/,AncistrusCirrhosus,Actinopterygii,Siluriformes,Loricariidae,Peaceful,Bottom,Omnivore,6.8,16.0,25.0,12.5,NAM,3.7989187,0.51703966,0.16211471
Brittanichthys Axelrodi Tetra,/species-spotlight/brittanichthys-axelrodi-tetra/,Brittanichthysaxelrodi,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,5.5,3.0,26.1,3.0,SA,13.019341,-1.6542996,-0.39918932
Broken Line Tetra,/species-spotlight/broken-line-tetra/,Hemigrammusulreyi,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,8.5,24.5,5.0,SA,9.2079115,-0.0070100054,0.35163987
Bronze Corydoras,/species-spotlight/bronze-corydoras/,CorydorasAeneus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.75,10.0,25.3,7.0,SA,-12.835518,-0.08548457,-2.270962
Bronze Corydoras Var Longfin,/species-spotlight/bronze-corydoras---longfin/,Corydorasaeneus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,15.0,24.5,7.0,SA,-11.331445,-2.7284017,1.2835218
Bucktooth Tetra,/species-spotlight/bucktooth-tetra/,Exodonparadoxus,Actinopterygii,Characiformes,Characidae,Aggressive,Middle - Top,Carnivore,6.5,12.5,24.5,12.0,SA,4.8041615,0.22993359,-0.111740634
Buenos Aires Tetra,/species-spotlight/buenos-aires-tetra/,Hyphessobryconanisitsi,Actinopterygii,Characiformes,Characidae,Semi-Aggressive,Middle - Top,Omnivore,7.0,18.5,22.8,7.0,SA,4.150358,2.3506162,0.4644814
Bumblebee Goby,/species-spotlight/bumblebee-goby/,Brachygobiusdoriae,Actinopterygii,Gobiiformes,Gobiidae,Semi-Aggressive,Bottom - Middle,Carnivore,7.5,5.5,24.45,4.2,AS,8.904539,-6.6157284,-1.1431248
Butterfly Barb,/species-spotlight/butterfly-barb/,Barbushulstaerti,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle,Omnivore,5.5,3.0,20.3,3.5,AF,-9.47641,5.275678,-2.1453257
Butterfly Plecostomus L168,/species-spotlight/butterfly-plecostomus-l168/,DekeyseriaBrachyura,Actinopterygii,Siluriformes,Loricariidae,Peaceful,Bottom,Omnivore,6.25,7.0,26.0,15.0,SA,3.8355088,-3.122609,0.5552256
Cardinal Sulawesi Shrimp,/species-spotlight/cardinal-sulawesi-shrimp/,CaridinaDennerli,Malacostraca,Decapoda,Atyidae,Peaceful,Bottom - Middle,Omnivore,7.9,7.0,27.2,2.5,AS,-6.4518957,8.904616,-1.9028066
Cardinal Tetra,/species-spotlight/cardinal-tetra/,Paracheirodonaxelrodi,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,5.5,3.0,26.0,5.0,SA,12.966868,-1.7338899,-0.36995837
Celebes Rainbowfish,/species-spotlight/celebes-rainbowfish/,Marosatherinaladigesi,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle,Omnivore,7.5,17.5,25.0,8.0,AS,2.702141,5.047175,-1.1097119
Celestial Pearl Danio,/species-spotlight/celestial-pearl-danio/,Daniomargaritatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,9.0,22.8,2.5,AS,-7.1771398,5.856886,1.3972883
Cenepa Red Pencilfish,/species-spotlight/cenepa-red-pencilfish/,Nannstomussp,Actinopterygii,Characiformes,Lebiasinidae,Peaceful,Middle - Top,Omnivore,5.5,6.5,25.85,3.5,SA,13.200779,0.9848839,-1.6801615
Checker Barb,/species-spotlight/checker-barb/,Oliotiusoligolepis,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,6.0,5.5,21.95,5.0,SA,-10.420493,4.132635,-2.1513448
Checkerboard Cichlid,/species-spotlight/checkerboard-cichlid/,Dicrossusfilamentosus,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Middle,Omnivore,5.5,4.5,28.6,10.0,SA,-8.011037,1.7416794,-2.9839375
Cherry Barb,/species-spotlight/cherry-barb/,Puntiustitteya,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.35,12.0,23.9,5.0,AS,-6.624539,3.5988593,2.5949402
Chilli Rasbora,/species-spotlight/chilli-rasbora/,BorarasBrigittae,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.0,5.5,25.55,2.0,AS,-8.207753,6.9012265,-1.1529616
Chinese Barb,/species-spotlight/chinese-barb/,Barbodessemifasciolatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.0,5.5,20.85,7.5,AS,-4.414399,3.5386636,-1.3735782
Chinese High Fin Banded Shark,/species-spotlight/chinese-high-fin-banded-shark/,MyxocyprinusAsiaticus,Actinopterygii,Cypriniformes,Catostomidae,Peaceful,Bottom,Omnivore,7.0,12.0,23.05,43.0,AS,0.678428,-5.5475483,-0.16260631
Chinese Hillstream Loach,/species-spotlight/chinese-hillstream-loach/,Pseudogastromyzoncheni,Actinopterygii,Cypriniformes,Balitoridae,Peaceful,Bottom,Omnivore,7.5,10.0,21.95,6.0,AS,6.985364,-4.3122964,1.0763603
Chinese Neon Golden Stripe Shark,/species-spotlight/chinese-neon-golden-stripe-shark/,Sarcocheilichthysparvus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.0,8.5,25.3,7.0,AS,-6.8984995,2.756492,-0.949618
Chocolate Gourami,/species-spotlight/chocolate-gourami/,Sphaerichthysosphromenoides,Actinopterygii,Anabantiformes,Osphronemidae,Semi-Aggressive,Middle - Top,Omnivore,5.0,3.25,26.95,6.0,AS,8.720406,-7.290697,-0.6735202
Chocolate Shrimp,/species-spotlight/chocolate-shrimp/,NeocaridinaDavidi,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,7.0,9.0,23.35,4.0,AS,-5.1723027,9.022344,0.0950067
Christys Killifish,/species-spotlight/christys-killifish/,Aphyosemionchristyi,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Peaceful,Middle - Top,Omnivore,7.0,10.0,24.15,6.0,AF,8.214815,-4.044987,-1.0933039
Clown Barb,/species-spotlight/clown-barb/,"Barbodeseveretti,Puntiuseveretti,Barbodesdunckeri",Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,All Levels,Omnivore,6.75,10.0,26.95,15.0,AS,-3.5870748,-1.6749096,0.08947656
Clown Killifish,/species-spotlight/clown-killifish/,Epiplatysannulatus,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Peaceful,Top,Omnivore,5.5,2.5,23.05,3.5,AF,11.52821,-3.5332322,-0.3411777
Clown Loach,/species-spotlight/clown-loach/,Chromobotiamacracanthus,Actinopterygii,Cypriniformes,Botiidae,Peaceful,Bottom,Omnivore,6.25,8.0,25.55,15.0,AS,3.9962075,-2.9783695,-0.19315669
Clown Rasbora,/species-spotlight/clown-rasbora/,Rasborakalochroma,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,All Levels,Omnivore,6.25,6.0,25.3,10.0,AS,-5.3949523,1.2150911,-1.9567286
Cochus Blue Tetra,/species-spotlight/cochus-blue-tetra/,Boehlkeafredcochui,Actinopterygii,Characiformes,Characidae,Peaceful,All Levels,Omnivore,6.75,10.0,24.2,5.5,SA,8.005128,1.461384,-0.34073803
Cockatoo Dwarf Cichlid,/species-spotlight/cockatoo-dwarf-cichlid/,Apistogrammacacatuoides,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Middle,Omnivore,7.0,12.0,25.55,10.0,SA,-7.2871165,-0.25167695,0.63705635
Coffee Bean Tetra,/species-spotlight/coffee-bean-tetra/,Hyphessobrycontakasei,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,17.5,25.85,4.0,SA,4.6505723,2.8292081,1.326682
Colombian Redfin Tetra,/species-spotlight/colombian-redfin-tetra/,Hyphessobryconcolumbianus,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,10.5,25.3,6.5,SA,6.867309,0.5182581,0.57608545
Common Hatchetfish,/species-spotlight/common-hatchetfish/,Gasteropelecussternicla,Actinopterygii,Characiformes,Gasteropelecidae,Peaceful,Top,Omnivore,6.5,8.5,25.0,6.5,SA,6.8655934,-4.9634814,2.3798625
Common Otocinclus,/species-spotlight/common-otocinclus/,Otocinclusvittatus,Actinopterygii,Siluriformes,Loricariidae,Peaceful,Bottom,Herbivore,6.5,9.0,23.6,4.0,SA,8.370729,-2.6357522,2.2267916
Concolour Corydoras,/species-spotlight/concolour-corydoras/,Corydorasconcolor,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,10.0,25.0,6.0,SA,-13.235039,0.16815914,-1.9537851
Congo Ctenopoma,/species-spotlight/congo-ctenopoma/,Ctenopomacongicum,Actinopterygii,Anabantiformes,Anabantidae,Peaceful,Bottom - Middle,Carnivore,6.5,14.0,25.0,6.5,AF,6.6546874,-9.115078,-1.6163069
Congo Tetra,/species-spotlight/congo-tetra/,Phenacogrammusinterruptus,Actinopterygii,Characiformes,Alestidae,Peaceful,Middle - Top,Omnivore,6.7,11.0,25.55,6.0,AF,-7.2017293,1.8331933,1.7493069
Convict Cichlid,/species-spotlight/convict-cichlid/,Amatitlanianigrofasciata,Actinopterygii,Cichliformes,Cichlidae,Aggressive,All Levels,Omnivore,7.0,7.0,27.5,15.0,NAM,-2.72819,-1.6475784,0.22062892
Copei Tetra,/species-spotlight/copei-tetra/,Moenkhausiacopei,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,15.0,24.0,6.0,SA,5.1275845,2.4243171,0.8092388
Coral Red Pencilfish,/species-spotlight/coral-red-pencilfish/,Nannostomusmortenthaleri,Actinopterygii,Characiformes,Lebiasinidae,Peaceful,Middle - Top,Omnivore,5.5,6.5,26.0,3.5,SA,13.219943,0.9746572,-1.6587554
Costello Tetra,/species-spotlight/costello-tetra/,Hemigrammushyanuary,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,8.5,25.0,4.0,SA,9.840263,0.65543896,0.85035783
Crystal Black Shrimp,/species-spotlight/crystal-black-shrimp/,CaridinaCantonensis,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,6.75,5.0,20.55,3.0,AS,-5.995429,9.35918,1.9508752
Crystal Red Shrimp,/species-spotlight/crystal-red-shrimp/,CaridinaCantonensis,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,6.75,5.0,20.55,3.0,AS,-5.995429,9.35918,1.9508752
Cuckoo Catfish,/species-spotlight/cuckoo-catfish/,Synodontismultipunctatus,Actinopterygii,Siluriformes,Mochokidae,Peaceful,Bottom - Middle,Omnivore,8.0,25.0,25.25,27.5,AF,2.7045937,-5.8448257,-1.0232279
Daisys Blue Ricefish,/species-spotlight/daisys-blue-ricefish/,Oryziaswoworae,Actinopterygii,Beloniformes,Adrianichthyidae,Peaceful,Middle - Top,Omnivore,6.75,14.0,24.0,3.0,AS,7.065533,-9.7016735,-1.159513
Darter Corydoras,/species-spotlight/darter-corydoras/,Corydorassp.CW153,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom - Middle,Omnivore,6.75,13.5,23.5,3.5,SA,-13.433596,-1.7884258,2.6385798
Dawn Tetra,/species-spotlight/dawn-tetra/,Aphyocharaxparaguayensis,Actinopterygii,Characiformes,Characidae,Semi-Aggressive,Middle,Omnivore,6.5,10.0,25.0,4.5,SA,8.314606,0.7798604,1.7707283
Delphax Corydoras,/species-spotlight/delphax-corydoras/,CorydorasDelphax,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.5,7.0,24.2,6.0,SA,-12.250449,2.2676919,-2.5163326
Denison Barb,/species-spotlight/denison-barb/,Sahyadriadenisonii,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.25,15.0,22.5,15.0,AS,-5.370573,-3.1732395,-0.3828456
Desana Corydoras,/species-spotlight/desana-corydoras/,Corydorasdesana,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.75,10.0,24.45,6.5,SA,-12.889641,0.15137665,-1.7756763
Diamond Tetra,/species-spotlight/diamond-tetra/,Moenkhausiapittieri,Actinopterygii,Characiformes,Characidae,Peaceful,Bottom - Middle,Omnivore,6.5,8.5,25.85,6.0,SA,8.069693,-1.0210037,0.5874403
Discus,/species-spotlight/discus/,"Symphysodonaequifasciatus,Symphysodondiscus,Symphysodon",Actinopterygii,Cichliformes,Cichlidae,Peaceful,All Levels,Carnivore,6.0,12.5,28.05,25.0,SA,-2.0360754,-3.070048,-0.46070093
Domino Tetra,/species-spotlight/domino-tetra/,Neolebiaspowelli,Actinopterygii,Characiformes,Distichodontidae,Peaceful,Middle - Top,Omnivore,6.5,12.5,23.9,2.5,AF,6.8507476,-5.6294484,2.560333
Drape Fin Barb,/species-spotlight/drape-fin-barb/,Oreichthyscrenuchoides,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,5.0,25.0,5.0,AS,-7.4723945,5.5515957,-1.6905808
Duplicate Corydoras,/species-spotlight/duplicate-corydoras/,Corydorasduplicareus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,5.5,8.5,23.0,5.0,SA,-12.827532,2.0790224,-1.1328539
Dusky Millions Fish,/species-spotlight/dusky-millions-fish/,Phalloceroscaudimaculatus,Actinopterygii,Cyprinodontiformes,Poeciliidae,Peaceful,All Levels,Omnivore,7.0,12.5,20.0,6.0,SA,6.0939803,3.5248551,-1.0036007
Dwarf Chain Loach,/species-spotlight/dwarf-chain-loach/,AmbastaiaSidthimunki,Actinopterygii,Cypriniformes,Botiidae,Peaceful,Bottom - Middle,Omnivore,6.75,7.5,25.85,6.0,AS,8.027505,-2.4861834,0.05710139
