Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent
1,1,1,1,1,2,7.25,10.0,22.5,5.5,2
1,3,3,1,4,2,7.0,11.5,21.1,3.0,5
1,9,11,1,3,2,6.0,8.5,25.0,3.5,5
1,3,3,1,2,2,7.0,8.5,24.45,4.0,5
1,1,1,1,1,2,7.0,13.5,24.2,5.0,2
1,3,36,1,1,2,7.0,6.5,17.5,30.0,5
1,3,3,1,4,2,7.0,12.0,18.9,4.0,5
2,5,6,1,2,2,6.75,7.0,21.1,4.0,5
1,2,16,1,4,2,7.0,11.0,25.85,5.0,2
1,2,16,1,4,2,6.5,11.5,25.0,6.0,2
1,1,1,1,1,2,7.0,8.5,24.5,5.0,2
2,5,6,1,6,2,8.0,7.0,28.35,3.0,5
1,2,2,1,2,2,7.25,15.0,24.15,6.0,4
1,3,3,1,4,2,6.75,12.5,24.5,15.0,5
1,3,3,1,2,2,7.0,9.5,21.4,8.0,5
1,3,18,1,1,2,6.8,7.5,25.3,15.0,5
1,3,3,1,4,2,6.75,8.5,20.55,6.0,5
1,3,18,1,1,2,6.75,8.5,23.6,10.0,5
3,15,39,1,1,3,7.5,15.0,23.5,2.5,4
1,1,20,1,1,2,7.0,9.0,27.8,10.0,2
